city,year,crime,incidences,rate
Agra,2014,Attempt to rape,78,4.5
Agra,2014,Attempt to commit C.H. Not Amounting To Murder,88,5
Agra,2014,Attempt To Commit Murder,17,1
Agra,2014,Murder,71,4.1
Agra,2014,Total Rape,38,4.7
Ahmedabad,2014,Attempt to rape,82,1.3
Ahmedabad,2014,Attempt to commit C.H. Not Amounting To Murder,61,1
Ahmedabad,2014,Attempt To Commit Murder,6,0.1
Ahmedabad,2014,Murder,0,0
Ahmedabad,2014,Total Rape,100,3.3
Allahabad,2014,Attempt to rape,33,2.7
Allahabad,2014,Attempt to commit C.H. Not Amounting To Murder,59,4.8
Allahabad,2014,Attempt To Commit Murder,8,0.7
Allahabad,2014,Murder,0,0
Allahabad,2014,Total Rape,20,3.6
Amritsar,2014,Attempt to rape,29,2.4
Amritsar,2014,Attempt to commit C.H. Not Amounting To Murder,75,6.3
Amritsar,2014,Attempt To Commit Murder,2,0.2
Amritsar,2014,Murder,3,0.3
Amritsar,2014,Total Rape,34,6.1
Asansol,2014,Attempt to rape,48,3.9
Asansol,2014,Attempt to commit C.H. Not Amounting To Murder,164,13.2
Asansol,2014,Attempt To Commit Murder,10,0.8
Asansol,2014,Murder,0,0
Asansol,2014,Total Rape,16,2.7
Aurangabad,2014,Attempt to rape,35,2.9
Aurangabad,2014,Attempt to commit C.H. Not Amounting To Murder,54,4.5
Aurangabad,2014,Attempt To Commit Murder,0,0
Aurangabad,2014,Murder,0,0
Aurangabad,2014,Total Rape,27,4.7
Bengaluru,2014,Attempt to rape,241,2.8
Bengaluru,2014,Attempt to commit C.H. Not Amounting To Murder,489,5.8
Bengaluru,2014,Attempt To Commit Murder,21,0.2
Bengaluru,2014,Murder,0,0
Bengaluru,2014,Total Rape,104,2.6
Bhopal,2014,Attempt to rape,52,2.8
Bhopal,2014,Attempt to commit C.H. Not Amounting To Murder,96,5.1
Bhopal,2014,Attempt To Commit Murder,2,0.1
Bhopal,2014,Murder,3,0.2
Bhopal,2014,Total Rape,178,19.8
Chandigarh City,2014,Attempt to rape,21,2
Chandigarh City,2014,Attempt to commit C.H. Not Amounting To Murder,30,2.9
Chandigarh City,2014,Attempt To Commit Murder,6,0.6
Chandigarh City,2014,Murder,4,0.4
Chandigarh City,2014,Total Rape,51,11
Chennai,2014,Attempt to rape,161,1.9
Chennai,2014,Attempt to commit C.H. Not Amounting To Murder,225,2.6
Chennai,2014,Attempt To Commit Murder,0,0
Chennai,2014,Murder,0,0
Chennai,2014,Total Rape,65,1.5
Coimbatore,2014,Attempt to rape,21,1
Coimbatore,2014,Attempt to commit C.H. Not Amounting To Murder,43,2
Coimbatore,2014,Attempt To Commit Murder,1,0
Coimbatore,2014,Murder,0,0
Coimbatore,2014,Total Rape,5,0.5
Delhi (City),2014,Attempt to rape,472,2.9
Delhi (City),2014,Attempt to commit C.H. Not Amounting To Murder,675,4.1
Delhi (City),2014,Attempt To Commit Murder,49,0.3
Delhi (City),2014,Murder,886,5.4
Delhi (City),2014,Total Rape,1813,23.9
Dhanbad,2014,Attempt to rape,17,1.4
Dhanbad,2014,Attempt to commit C.H. Not Amounting To Murder,10,0.8
Dhanbad,2014,Attempt To Commit Murder,4,0.3
Dhanbad,2014,Murder,0,0
Dhanbad,2014,Total Rape,13,2.3
Durg-Bhilainagar,2014,Attempt to rape,40,3.8
Durg-Bhilainagar,2014,Attempt to commit C.H. Not Amounting To Murder,34,3.2
Durg-Bhilainagar,2014,Attempt To Commit Murder,0,0
Durg-Bhilainagar,2014,Murder,0,0
Durg-Bhilainagar,2014,Total Rape,53,10.2
Faridabad,2014,Attempt to rape,64,4.6
Faridabad,2014,Attempt to commit C.H. Not Amounting To Murder,41,2.9
Faridabad,2014,Attempt To Commit Murder,3,0.2
Faridabad,2014,Murder,0,0
Faridabad,2014,Total Rape,101,15.4
Ghaziabad,2014,Attempt to rape,73,3.1
Ghaziabad,2014,Attempt to commit C.H. Not Amounting To Murder,61,2.6
Ghaziabad,2014,Attempt To Commit Murder,20,0.8
Ghaziabad,2014,Murder,0,0
Ghaziabad,2014,Total Rape,75,6.8
Gwalior,2014,Attempt to rape,41,3.7
Gwalior,2014,Attempt to commit C.H. Not Amounting To Murder,81,7.4
Gwalior,2014,Attempt To Commit Murder,12,1.1
Gwalior,2014,Murder,4,0.4
Gwalior,2014,Total Rape,106,20.7
Flyderabad,2014,Attempt to rape,118,1.5
Flyderabad,2014,Attempt to commit C.H. Not Amounting To Murder,163,2.1
Flyderabad,2014,Attempt To Commit Murder,6,0.1
Flyderabad,2014,Murder,0,0
Flyderabad,2014,Total Rape,126,3.3
Indore,2014,Attempt to rape,88,4.1
Indore,2014,Attempt to commit C.H. Not Amounting To Murder,183,8.4
Indore,2014,Attempt To Commit Murder,0,0
Indore,2014,Murder,3,0.1
Indore,2014,Total Rape,185,17.8
Jabalpur,2014,Attempt to rape,57,4.5
Jabalpur,2014,Attempt to commit C.H. Not Amounting To Murder,93,7.3
Jabalpur,2014,Attempt To Commit Murder,1,0.1
